Cod_Transacao,Produto,Quantidade,Preço Unitário,Valor Total,Forma de Pagamento,Tipo de Consumo,Data da Transação
TXN_1961373,CAFÉ,2,2.0,4.0,CARTÃO DE CRÉDITO,PARA VIAGEM,08/09/2023
TXN_4977031,BOLO,4,3.0,12.0,DINHEIRO,PRESENCIAL,16/05/2023
TXN_4271903,BISCOITO,4,1.0,,CARTÃO DE CRÉDITO,PRESENCIAL,19/07/2023
TXN_7034554,SALADA,2,5.0,10.0,,,27/04/2023
TXN_3160411,CAFÉ,2,2.0,4.0,CARTEIRA DIGITAL,PRESENCIAL,11/06/2023
TXN_2602893,VITAMINA,5,4.0,20.0,CARTÃO DE CRÉDITO,,31/03/2023
TXN_4433211,,3,3.0,9.0,,PARA VIAGEM,06/10/2023
TXN_6699534,LANCHE,4,4.0,16.0,DINHEIRO,,28/10/2023
TXN_4717867,,5,3.0,15.0,,PARA VIAGEM,28/07/2023
TXN_2064365,LANCHE,5,4.0,20.0,,PRESENCIAL,31/12/2023
TXN_2548360,SALADA,5,5.0,25.0,DINHEIRO,PARA VIAGEM,07/11/2023
TXN_3051279,LANCHE,2,4.0,8.0,CARTÃO DE CRÉDITO,PARA VIAGEM,
TXN_7619095,LANCHE,2,4.0,8.0,DINHEIRO,PRESENCIAL,03/05/2023
TXN_9437049,BISCOITO,5,1.0,5.0,,PARA VIAGEM,01/06/2023
TXN_8915701,,2,1.5,3.0,,PRESENCIAL,21/03/2023
TXN_2847255,SALADA,3,5.0,15.0,CARTÃO DE CRÉDITO,PRESENCIAL,15/11/2023
TXN_3765707,LANCHE,1,4.0,4.0,,,10/06/2023
TXN_6769710,SUCO,2,3.0,6.0,DINHEIRO,PRESENCIAL,24/02/2023
TXN_8876618,BOLO,5,3.0,15.0,DINHEIRO,,25/03/2023
TXN_3709394,SUCO,4,3.0,12.0,DINHEIRO,PARA VIAGEM,15/01/2023
TXN_3522028,VITAMINA,,4.0,20.0,DINHEIRO,PRESENCIAL,04/04/2023
TXN_3567645,VITAMINA,4,4.0,16.0,CARTÃO DE CRÉDITO,PARA VIAGEM,30/03/2023
TXN_5132361,LANCHE,3,4.0,12.0,CARTEIRA DIGITAL,PARA VIAGEM,01/12/2023
TXN_2616390,LANCHE,2,4.0,8.0,,,18/09/2023
TXN_9400181,LANCHE,5,4.0,20.0,DINHEIRO,PRESENCIAL,03/06/2023
TXN_7958992,VITAMINA,3,4.0,,,,13/12/2023
TXN_5183041,BISCOITO,5,1.0,5.0,CARTÃO DE CRÉDITO,PRESENCIAL,20/04/2023
TXN_5695074,SUCO,4,3.0,12.0,CARTÃO DE CRÉDITO,PARA VIAGEM,10/04/2023
TXN_8467949,VITAMINA,5,4.0,20.0,CARTÃO DE CRÉDITO,,11/03/2023
