Cod_Transacao;Produto;Quantidade;Preço Unitário;Valor Total;Forma de Pagamento;Tipo de Consumo;Data da Transação;valor_imputado;is_valid;quality_issues
TXN_1961373;CAFÉ;2;2,00;4,00;CARTÃO DE CRÉDITO;PARA VIAGEM;08/09/2023;False;True;[]
TXN_4977031;BOLO;4;3,00;12,00;DINHEIRO;PRESENCIAL;16/05/2023;False;True;[]
TXN_4271903;BISCOITO;4;1,00;4,00;CARTÃO DE CRÉDITO;PRESENCIAL;19/07/2023;False;True;[]
TXN_7034554;SALADA;2;5,00;10,00;N/A;N/A;27/04/2023;False;True;[]
TXN_3160411;CAFÉ;2;2,00;4,00;CARTEIRA DIGITAL;PRESENCIAL;11/06/2023;False;True;[]
TXN_2602893;VITAMINA;5;4,00;20,00;CARTÃO DE CRÉDITO;N/A;31/03/2023;False;True;[]
TXN_4433211;N/A;3;3,00;9,00;N/A;PARA VIAGEM;06/10/2023;False;True;[]
TXN_6699534;SANDUICHE;4;4,00;16,00;DINHEIRO;N/A;28/10/2023;False;True;[]
TXN_4717867;N/A;5;3,00;15,00;N/A;PARA VIAGEM;28/07/2023;False;True;[]
TXN_2064365;SANDUICHE;5;4,00;20,00;N/A;PRESENCIAL;31/12/2023;False;True;[]
TXN_2548360;SALADA;5;5,00;25,00;DINHEIRO;PARA VIAGEM;07/11/2023;False;True;[]
TXN_7619095;SANDUICHE;2;4,00;8,00;DINHEIRO;PRESENCIAL;03/05/2023;False;True;[]
TXN_9437049;BISCOITO;5;1,00;5,00;N/A;PARA VIAGEM;01/06/2023;False;True;[]
TXN_8915701;N/A;2;1,50;3,00;N/A;PRESENCIAL;21/03/2023;False;True;[]
TXN_2847255;SALADA;3;5,00;15,00;CARTÃO DE CRÉDITO;PRESENCIAL;15/11/2023;False;True;[]
TXN_3765707;SANDUICHE;1;4,00;4,00;N/A;N/A;10/06/2023;False;True;[]
TXN_6769710;SUCO;2;3,00;6,00;DINHEIRO;PRESENCIAL;24/02/2023;False;True;[]
TXN_8876618;BOLO;5;3,00;15,00;DINHEIRO;N/A;25/03/2023;False;True;[]
TXN_3709394;SUCO;4;3,00;12,00;DINHEIRO;PARA VIAGEM;15/01/2023;False;True;[]
TXN_3522028;VITAMINA;;4,00;20,00;DINHEIRO;PRESENCIAL;04/04/2023;True;True;[]
TXN_3567645;VITAMINA;4;4,00;16,00;CARTÃO DE CRÉDITO;PARA VIAGEM;30/03/2023;False;True;[]
TXN_5132361;SANDUICHE;3;4,00;12,00;CARTEIRA DIGITAL;PARA VIAGEM;01/12/2023;False;True;[]
TXN_2616390;SANDUICHE;2;4,00;8,00;N/A;N/A;18/09/2023;False;True;[]
TXN_9400181;SANDUICHE;5;4,00;20,00;DINHEIRO;PRESENCIAL;03/06/2023;False;True;[]
TXN_7958992;VITAMINA;3;4,00;12,00;N/A;N/A;13/12/2023;False;True;[]
TXN_5183041;BISCOITO;5;1,00;5,00;CARTÃO DE CRÉDITO;PRESENCIAL;20/04/2023;False;True;[]
