Cod_Produto;Quantidade;Valor Total
1;214;R$ 3.852,00
2;183;R$ 3.294,00
3;169;R$ 2.492,75
4;150;R$ 3.067,50
5;148;R$ 2.220,00
6;218;R$ 4.578,00
7;146;R$ 2.883,50
8;260;R$ 11.700,00
9;206;R$ 4.657,50
10;134;R$ 1.340,00
11;152;R$ 1.360,40
12;153;R$ 1.369,35
13;161;R$ 1.440,95
14;142;R$ 1.270,90
15;159;R$ 1.470,75
16;153;R$ 1.369,35
17;168;R$ 1.596,00
18;122;R$ 1.335,90
19;118;R$ 755,20
20;221;R$ 1.679,60
21;148;R$ 1.972,84
22;4484;R$ 8.968,00
23;4410;R$ 11.025,00
24;3997;R$ 11.991,00
25;4310;R$ 9.482,00
26;4385;R$ 13.155,00
27;4317;R$ 15.109,50
28;4178;R$ 8.356,00
29;4547;R$ 11.367,50
30;4195;R$ 12.585,00
31;4433;R$ 9.752,60
32;4393;R$ 13.179,00
33;4227;R$ 14.794,50
34;4018;R$ 9.844,10
35;4018;R$ 12.455,80
36;4395;R$ 16.481,25
37;4165;R$ 12.495,00
38;4602;R$ 17.257,50
39;4497;R$ 19.112,25
40;4266;R$ 15.997,50
41;4151;R$ 17.641,75
42;4325;R$ 10.812,50
43;4089;R$ 12.267,00
44;4564;R$ 11.410,00
45;4350;R$ 13.050,00
46;4477;R$ 11.192,50
47;4220;R$ 12.660,00
48;4200;R$ 10.500,00
49;4309;R$ 12.927,00
50;4708;R$ 11.770,00
51;4245;R$ 12.735,00
52;4512;R$ 11.280,00
53;4174;R$ 12.522,00
54;4643;R$ 11.607,50
55;4346;R$ 17.384,00
56;4171;R$ 10.636,05
57;4404;R$ 13.652,40
58;4007;R$ 14.024,50
59;4668;R$ 21.006,00
60;4329;R$ 16.233,75
61;4453;R$ 21.151,75
63;2576;R$ 2.060,80
64;2372;R$ 1.897,60
65;2905;R$ 2.324,00
69;2028;R$ 6.608,01
70;2092;R$ 6.818,44
71;3096;R$ 11.625,98
72;2540;R$ 8.011,61
73;1911;R$ 7.168,13
74;1836;R$ 6.436,56
75;1954;R$ 6.861,88
76;1924;R$ 6.748,96
77;1820;R$ 5.460,00
78;1985;R$ 8.949,45
79;2028;R$ 7.626,62
81;221;R$ 6.163,00
82;240;R$ 2.935,00
83;315;R$ 4.509,00
84;2658;R$ 2.126,40
87;3262;R$ 8.902,20
