Cod_Transacao,Produto,Quantidade,Preço Unitário,Valor Total,Forma de Pagamento,Tipo de Consumo,Data da Transação,Origem,Hora da Transação,Cod_Loja,Localizacao_Loja,Cod_Produto,Categoria do Produto,Tipo do Produto,Detalhe do Produto,valor_imputado,is_valid,quality_issues
TXN_3051279,SANDWICH,2,4.00,8.00,CREDIT CARD,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7640952,CAKE,4,3.00,12.00,DIGITAL WALLET,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7710508,N/A,5,1.00,5.00,CASH,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_2091733,SALAD,1,5.00,5.00,N/A,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7028009,CAKE,4,3.00,12.00,N/A,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7447872,JUICE,2,,6.00,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_1001832,SALAD,2,5.00,10.00,CASH,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7943008,COFFEE,1,2.00,2.00,CREDIT CARD,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_1093800,SANDWICH,3,4.00,12.00,CASH,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_6463132,COOKIE,5,1.00,5.00,CREDIT CARD,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_4129248,SANDWICH,2,4.00,8.00,CREDIT CARD,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_5761073,COOKIE,1,1.00,1.00,CASH,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_1908636,TEA,2,1.50,3.00,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7549542,COOKIE,5,1.00,5.00,N/A,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_5003018,COOKIE,4,1.00,4.00,DIGITAL WALLET,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7550498,JUICE,5,3.00,15.00,N/A,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_1623966,TEA,2,1.50,3.00,CASH,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_1260335,COOKIE,4,1.00,4.00,DIGITAL WALLET,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_1726858,SMOOTHIE,3,4.00,12.00,CASH,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_8894157,SANDWICH,4,4.00,16.00,CREDIT CARD,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_8751516,TEA,3,1.50,4.50,CASH,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_3665733,COFFEE,5,2.00,10.00,CASH,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
